Kingdom,Phylum,Class,Order,Family,Genus,Species
Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Broad-specificity Catabolism,phnM
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Broad-specificity Catabolism,phnM
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Broad-specificity Catabolism,phnJ
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Broad-specificity Catabolism,phnI
Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,Substrate-specific Catabolism,phnX
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Substrate-specific Catabolism,phnW
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Substrate-specific Catabolism,phnW
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Substrate-specific Catabolism,phnX
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Substrate-specific Catabolism,phnW
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,unclassified,Substrate-specific Catabolism,phnW
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,unclassified,Broad-specificity Catabolism,phnJ
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,unclassified,Broad-specificity Catabolism,phnI
Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Substrate-specific Catabolism,phnW
Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Production,aepY
